n,F(n),|F(n) - F(Nmax)|,log10_error
1000,-0.5168890742569242,0.00984759994929496,-2.006669602577009
1022,-0.5170731167634545,0.009663557442764703,-2.014862967440472
1045,-0.5172580413283667,0.009478632877852444,-2.0232542973054364
1068,-0.5174353022387684,0.009301371967450733,-2.0314529875807406
1092,-0.5176130634126511,0.009123610793568049,-2.039833249678929
1117,-0.5177915432805096,0.008945130925709588,-2.0484132984843004
1142,-0.5179619880806795,0.008774686125539666,-2.0567684094928063
1167,-0.5181260101329047,0.008610664073314456,-2.0649633535109664
1194,-0.5182956492657876,0.00844102494043153,-2.0736048165321437
1220,-0.5184527319832848,0.008283942222934382,-2.081762938792139
1248,-0.5186149698802547,0.008121704325964485,-2.0903528252300547
1276,-0.5187707913518738,0.007965882854345407,-2.0987660845806517
1304,-0.5189206227407607,0.007816051465458496,-2.1070125896307563
1334,-0.5190745204893623,0.0076621537168568565,-2.1156491395216888
1363,-0.5192175213578304,0.007519152848388777,-2.1238310868013017
1394,-0.5193638965815982,0.007372777624620963,-2.132368864951705
1425,-0.5195045558714062,0.007232118334812965,-2.14073447637453
1457,-0.5196440110509323,0.0070926631552868935,-2.149190665172462
1490,-0.5197817925382159,0.006954881668003288,-2.1577102547978
1523,-0.5199144619683409,0.006822212237878267,-2.16607477388998
1557,-0.5200453894328293,0.006691284773389872,-2.17449048665322
1592,-0.520174789076183,0.0065618851300361936,-2.1829713764839656
1628,-0.5203026196499647,0.006434054556254454,-2.191515260906879
1665,-0.5204286785178409,0.006307995688378254,-2.2001086121906575
1702,-0.5205495706538517,0.006187103552367512,-2.208512615215582
1740,-0.5206687292275526,0.006067944978666584,-2.2169583658500116
1779,-0.5207864497792752,0.005950224426943929,-2.22546665350755
1819,-0.5209021363731913,0.005834537833027897,-2.2339935397068884
1860,-0.5210156214091045,0.005721052797114656,-2.2425240443004477
1901,-0.5211250463378404,0.005611627868378766,-2.250911136657971
1944,-0.5212348252270578,0.0055018489791613945,-2.2594913347782164
1988,-0.5213427786374658,0.00539389556875336,-2.268097466179976
2032,-0.5214463087358521,0.005290365470367098,-2.2765143248870876
2078,-0.521550298129962,0.00518637607625716,-2.2851359947164025
2124,-0.521649977782523,0.005086696423696191,-2.293564180482992
2172,-0.5217498653200641,0.004986808886155103,-2.302177275310546
2221,-0.5218478241147753,0.004888850091443908,-2.3107932794587764
2271,-0.5219435842123668,0.004793089993852417,-2.3193844167276794
2321,-0.5220356119442884,0.0047010622619307885,-2.3278039968794113
2374,-0.522129100848396,0.004607573357823136,-2.336527741590348
2427,-0.5222188977959052,0.004517776410313923,-2.345075266591778
2481,-0.5223066765342619,0.0044299976719572864,-2.353596502006359
2537,-0.5223940852792821,0.004342588926937063,-2.3622512793673063
2594,-0.522479353453162,0.004257320753057181,-2.3708636281796713
2652,-0.522562570471352,0.004174103734867152,-2.3794367620457035
2711,-0.5226439998293859,0.00409267437683325,-2.387992807509645
2772,-0.5227246187680195,0.004012055438199713,-2.396633074570394
2834,-0.5228034302110842,0.00393324399513495,-2.4052491117001162
2898,-0.5228813556713046,0.003855318534914609,-2.4139397337633075
2963,-0.5229574355226125,0.003779238683606634,-2.4225956786837153
3029,-0.5230314805610761,0.003705193645143101,-2.4311890894877792
3097,-0.5231046387753796,0.003632035430839564,-2.4398499235476874
3166,-0.5231758857104472,0.003560788495772016,-2.448453821845845
3237,-0.5232462789165013,0.0034903952897178403,-2.4571253861004623
3310,-0.5233156920174941,0.003420982188725108,-2.465849186954528
3384,-0.5233832026928452,0.0033534715133739512,-2.4745053784949556
3460,-0.5234497543552437,0.0032869198509755115,-2.4832108857277606
3538,-0.523515292024509,0.0032213821817101973,-2.491957747840472
3617,-0.5235790133778236,0.0031576608283955254,-2.5006345203907054
3698,-0.5236416359306635,0.0030950382755556838,-2.5093339758006197
3781,-0.5237032458068834,0.003033428399335736,-2.518066251631546
3866,-0.5237637659581947,0.0029729082480244307,-2.5268184940885656
3952,-0.52382252660615,0.002914147600069139,-2.535488455217997
4041,-0.5238808991869984,0.002855775019220741,-2.5442760096968535
4132,-0.5239381277246427,0.0027985464815765138,-2.553067475419911
4224,-0.5239936379886936,0.002743036217525585,-2.5617684581746647
4319,-0.5240486976812441,0.0026879765249750998,-2.570574528444959
4416,-0.5241025418471551,0.0026341323590640675,-2.5793624065318124
4515,-0.5241553114930463,0.0025813627131728856,-2.5881509674584837
4616,-0.5242069653260625,0.002529708880156689,-2.596929454719893
4719,-0.5242575047149445,0.002479169491274691,-2.6056937811752663
4825,-0.5243074088136277,0.002429265392591473,-2.6145250367626347
4933,-0.5243561848850896,0.002380489321129553,-2.6233337624292985
5044,-0.5244042666137028,0.0023324075925164056,-2.632195553521525
5157,-0.5244512498988139,0.0022854243074053038,-2.6410331578445962
5273,-0.5244975106642922,0.0022391635419269917,-2.649914185669452
5391,-0.5245426305046068,0.002194043701612358,-2.6587547262690205
5512,-0.5245870284249357,0.0021496457812835157,-2.667633097250789
5635,-0.5246303454181631,0.0021063287880560555,-2.6764738365249907
5762,-0.5246732441546942,0.0020634300515249837,-2.6854102487403377
5891,-0.5247150538529777,0.0020216203532414934,-2.69430039868214
6023,-0.5247560931056146,0.001980581100604617,-2.7032073694556336
6158,-0.5247963450365518,0.0019403291696673541,-2.7121245873669753
6296,-0.524835820702796,0.0019008535034231722,-2.7210513524173203
6437,-0.5248745365859682,0.0018621376202510032,-2.729988225875082
6582,-0.5249126875447676,0.0018239866614515599,-2.7389783419281977
6729,-0.5249498300631374,0.0017868441430817228,-2.7479133270419283
6880,-0.5249864064649004,0.0017502677413188117,-2.756895511494722
7034,-0.5250222069290782,0.0017144672771409741,-2.765870799550336
7192,-0.5250574293587816,0.0016792448474375332,-2.774885975608028
7353,-0.5250918656814679,0.00164480852475124,-2.783884651807612
7518,-0.525125705674798,0.0016109685314211752,-2.7929129429846413
7686,-0.5251587662330208,0.0015779079731983447,-2.801918329325327
7859,-0.5251914452724123,0.0015452289338068192,-2.8110071684569373
8035,-0.5252233074348539,0.0015133667713652654,-2.8200558059645493
8215,-0.5252545714754703,0.001482102730748891,-2.82912169254354
8399,-0.5252852353877863,0.0014514388184329041,-2.8382012659824882
8587,-0.525315276906347,0.001421397299872118,-2.8472845138913074
8780,-0.5253448574473181,0.0013918167589010988,-2.856417938458585
8977,-0.5253738311844323,0.001362843021786908,-2.865554165220285
9178,-0.5254021791736241,0.0013344950325950844,-2.874683038452389
9384,-0.525430048959127,0.0013066252470921302,-2.8838489544679087
9594,-0.5254573016707182,0.0012793725355009222,-2.8930029765889294
9809,-0.5254840761538796,0.0012525980523395708,-2.9021882679171913
10029,-0.5255103453574272,0.0012263288487919244,-2.911393055049842
10254,-0.5255361079721591,0.0012005662340600631,-2.9206138753459676
10484,-0.5255613770234979,0.0011752971827212466,-2.929852304884096
10719,-0.5255861361410799,0.0011505380651393171,-2.939099008280443
10959,-0.5256103897872396,0.0011262844189795507,-2.948351923875712
11205,-0.52563423159273,0.0011024426134891296,-2.9576440080221706
11456,-0.5256575632011097,0.0010791110051094899,-2.9669338783691077
11713,-0.5256804785316251,0.0010561956745940293,-2.976255615396844
11975,-0.5257028832534536,0.0010337909527655675,-2.9855672728852785
12244,-0.525724943458929,0.0010117307472902182,-2.994935051255818
12518,-0.525746498172871,0.0009901760333481668,-3.0042875897300516
12799,-0.5257677030000452,0.0009689712061740074,-3.013689128197468
13086,-0.5257884679697074,0.0009482062365118171,-3.0230971925798533
13379,-0.5258088085713657,0.0009278656348534753,-3.032514909844333
