ref,exists,times_label_defined,context,label_prefix_ok
tab:sensitivity,True,1,any,
tab:stability,True,1,any,
fig:convergence,True,1,any,
tab:high-precision,True,1,any,
fig:kappa-alpha-beta,True,1,any,
fig:bound-vs-Domega,True,1,any,
fig:convergence-1e6,True,1,any,
thm:Omega-exist,True,1,any,
cor:error-bound,True,1,any,
tab:Fn-values,True,1,any,
sec:experimental,True,1,any,
fig:convergence,True,1,Figure~\ref{...},True
tab:sensitivity,True,1,Table~\ref{...},True
tab:stability,True,1,Table~\ref{...},True
tab:high-precision,True,1,Table~\ref{...},True
tab:Fn-values,True,1,Table~\ref{...},True
