n,Xi(n),Omega(n),E(n),F(n),E_tail_upper,Omega_tail_upper_heuristic
1000,0.21013086663688038,0.6141727782276212,1.3411927191214246,-0.516889074256923,0.01140847932555105,0.013442180229351909
2000,0.2101316163452138,0.6148902968748297,1.3463933479424068,-0.5213714347223634,0.006204239662775526,0.006806245191579939
3000,0.2101317552047817,0.6151347344216399,1.348265711461455,-0.5229992218350333,0.004331147275424069,0.00456835101607191
4000,0.21013180380875546,0.6152583611749733,1.3492444711656613,-0.5238543061819325,0.003352119831387763,0.0034419817497018
5000,0.2101318263062138,0.6153331223483982,1.3498503813503104,-0.5243854326956985,0.002746081484087683,0.0027630423607164327
6000,0.21013183852731254,0.6153832705239062,1.3502641510979938,-0.5247490420467751,0.002332240304378701,0.0023088226047034365
7000,0.21013184589635567,0.615419246976435,1.3505655139639274,-0.5250144210911367,0.0020308334639440938,0.0019834598449636124
8000,0.21013185067919815,0.6154463372187247,1.3507952584710825,-0.5252170705731597,0.0018010599156938814,0.0017388600721202972
9000,0.21013185395832534,0.6154674924466633,1.3509764754743603,-0.5253771290693716,0.0016198227029992627,0.0015482301168156618
10000,0.21013185630388045,0.615484447926437,1.3511232427899962,-0.5255069385596788,0.0014730407420438414,0.0013954562833746035
11000,0.21013185803933473,0.6154983572142172,1.351244644302427,-0.5256144290488751,0.001351628267653486,0.0012702635423883486
12000,0.21013185935929557,0.6155099839703304,1.3513468106600164,-0.5257049673303904,0.0012494534855226837,0.001165789607872768
13000,0.21013186038653908,0.6155198379370485,1.3514340329853833,-0.5257823346617958,0.0011622245418224724,0.001077276076245385
14000,0.21013186120162777,0.615528296843831,1.3515094069269382,-0.5258492488814794,0.0010868453034006181,0.001001319190247771
15000,0.21013186185920144,0.6155356453575697,1.3515752232616787,-0.5259077160449076,0.001021024661410638,0.0009354195883001803
16000,0.2101318623973785,0.6155420800531689,1.351633214414109,-0.5259592719635616,0.0009630299578469408,0.0008777004958077859
17000,0.21013186284340735,0.6155477672267005,1.3516847153988847,-0.5260050853287769,0.0009115260098118465,0.0008267251403849727
18000,0.21013186321718452,0.6155528311537222,1.3517307720025,-0.5260460776315934,0.0008654669070551869,0.0007813748825379414
19000,0.21013186353351263,0.6155573650773171,1.3517722153692473,-0.5260829867584176,0.000824021412578665,0.0007407657387536461
