n,F(n),|F(n) - F(Nmax)|,log10_error
1000,-0.6596682723489188,0.009800624790184731,-2.0087462371360427
1022,-0.659851171425655,0.009617725713448544,-2.0169276126681526
1045,-0.6600349414637785,0.009433955675325012,-2.0253061685828952
1068,-0.6602110344986891,0.009257862640414394,-2.0334892671644216
1092,-0.660387658725095,0.009081238414008541,-2.041854922437503
1117,-0.6605650258981044,0.008903871240999117,-2.050421128966239
1142,-0.6607343423215517,0.00873455481755181,-2.05875922522114
1167,-0.660897379299753,0.008571517839350506,-2.06694226665481
1194,-0.6610659686632085,0.008402928475894966,-2.075569333071828
1220,-0.661222124701049,0.008246772438054495,-2.083715989220155
1248,-0.6613833742309718,0.008085522908131693,-2.0922918880924493
1276,-0.6615382938951161,0.007930603243987422,-2.1006937766709566
1304,-0.6616872445865007,0.007781652552602769,-2.108928164158851
1334,-0.6618401742482083,0.007628722890895223,-2.117548160322984
1363,-0.6619823600704654,0.0074865370686381105,-2.125719020718866
1394,-0.6621279074504034,0.007340989688700117,-2.1342453859467727
1425,-0.6622678404430236,0.007201056696079955,-2.1426037697348774
1457,-0.6624065456816982,0.007062351457405303,-2.1510506736019046
1490,-0.6625435498298585,0.006925347309244989,-2.1595584416561
1523,-0.6626754793154399,0.006793417823663606,-2.1679116736572976
1557,-0.6628056781415979,0.00666321899750566,-2.1763159127043568
1592,-0.6629343429500943,0.006534554189009167,-2.184784036217735
1628,-0.663061444541862,0.006407452597241514,-2.193314598071161
1665,-0.6631867806906269,0.006282116448476649,-2.201894017561502
1702,-0.663306989159062,0.006161907980041459,-2.210284791585229
1740,-0.6634254761283571,0.006043421010746397,-2.2187171498728357
1779,-0.6635425716747865,0.005926325464317039,-2.2272145014426044
1819,-0.6636576313422055,0.0058112657968980574,-2.2357292602545296
1860,-0.663770508749792,0.005698388389311471,-2.244247953554526
1901,-0.6638793805854457,0.005589516553657803,-2.2526257533225675
1944,-0.6639885818854523,0.0054803152536512245,-2.261194458124552
1988,-0.664096003876748,0.00537289326235546,-2.269791787019335
2032,-0.664199009570657,0.005269887568446485,-2.278198650237956
2078,-0.6643024805437052,0.005166416595398293,-2.2868105772978162
2124,-0.664401651268424,0.0050672458706795265,-2.2952280225518855
2172,-0.6645010251251222,0.0049678720139813,-2.3038296013052424
2221,-0.6645985134463277,0.004870383692775815,-2.312436823366215
2271,-0.6646938163791194,0.004775080759984118,-2.3210192788825674
2321,-0.6647854007205938,0.004683496418509736,-2.3294298075406914
2374,-0.6648784365414674,0.004590460597636126,-2.3381437360366264
2427,-0.6649677874569562,0.004501109682147342,-2.346680404130844
2481,-0.6650551270382846,0.004413770100818892,-2.355190291597105
2537,-0.6651421258351952,0.00432677130390835,-2.3638360592906356
2594,-0.6652269946656959,0.0042419024734076105,-2.3724393206727834
2652,-0.665309832682557,0.004159064456546568,-2.381004348953273
2711,-0.6653908978194224,0.004077999319681114,-2.389552851009758
2772,-0.6654711199077187,0.003997777231384836,-2.3981814097866323
2834,-0.6655495603285417,0.00391933681056178,-2.406787413561159
2898,-0.6656271093242275,0.0038417878148759854,-2.4154666252560113
2963,-0.6657028399140377,0.003766057225065844,-2.4241130851845942
3029,-0.665776544156698,0.0036923529824055557,-2.432696787878199
3097,-0.6658493657736801,0.0036195313654233674,-2.4413476555954805
3166,-0.6659203006578956,0.0035485964812078663,-2.4499433824355
3237,-0.6659903909343156,0.0034785062047879567,-2.4586072176325446
3310,-0.6660595094739579,0.0034093876651456467,-2.4673236144174964
3384,-0.6661267282791296,0.0033421688599739596,-2.4759716115634283
3460,-0.6661929986320406,0.003275898507062891,-2.4846695618888277
3538,-0.6662582627736888,0.0032106343654146885,-2.4934091500935147
3617,-0.6663217117747778,0.0031471853643256775,-2.5020776770635846
3698,-0.6663840612719651,0.003084835867138369,-2.5107679382409174
3781,-0.6664454049497384,0.003023492189365151,-2.519491148976345
3866,-0.6665056689656541,0.002963228173449406,-2.528234905842029
3952,-0.6665641795479216,0.002904717591181938,-2.536896085150875
4041,-0.6666223067278997,0.002846590411203831,-2.545675017907812
4132,-0.6666792950670223,0.002789602072081232,-2.554457743043497
4224,-0.6667345732683313,0.002734323870772215,-2.5631500461109766
4319,-0.6667894055108429,0.002679491628260644,-2.5719475955175093
4416,-0.666843026652679,0.0026258704864244864,-2.580726698055476
4515,-0.6668955851907448,0.0025733119483587474,-2.5895075634830387
4616,-0.6669470330163211,0.0025218641227824357,-2.5982783167778125
4719,-0.666997371251316,0.00247152588778754,-2.607034836198796
4825,-0.6670470789435615,0.0024218181955419915,-2.6158584621989283
4933,-0.667095667936479,0.002373229202624505,-2.6246603163009374
5044,-0.6671435622693933,0.002325334869710205,-2.6335144958514403
5157,-0.6671903633449738,0.002278533794129678,-2.642344525784538
5273,-0.6672364480394986,0.0022324490996049606,-2.6512184343487997
5391,-0.6672813989081813,0.0021874982309222357,-2.6600522895289735
5512,-0.6673256311576232,0.0021432659814802912,-2.668923929228278
5635,-0.6673687858275382,0.002100111311565289,-2.67775768587683
5762,-0.6674115235901841,0.002057373548919439,-2.6866868480691064
5891,-0.6674531770587772,0.0020157200803263553,-2.6955697777871235
6023,-0.6674940626688274,0.0019748344702761322,-2.704469300877227
6158,-0.667534167135853,0.0019347300032505066,-2.7133796333736986
6296,-0.6675734987507989,0.0018953983883046588,-2.7222994930003765
6437,-0.6676120708678541,0.00185682627124939,-2.73122872790655
6582,-0.6676500819165455,0.0018188152225580012,-2.7402114196278737
6729,-0.667687092319787,0.001781804819316557,-2.7491398707459984
6880,-0.6677235376232282,0.0017453595158752888,-2.7581151018400636
7034,-0.6677592097234542,0.0017096874156493636,-2.767083284969169
7192,-0.6677943064235049,0.0016745907155986117,-2.7760913209716693
7353,-0.6678286221064049,0.0016402750326985904,-2.7850833256298566
7518,-0.6678623475529989,0.001606549586104622,-2.7941058654194815
7686,-0.667895293893373,0.001573603245730526,-2.8031047573074517
7859,-0.6679278609994946,0.0015410361396088756,-2.8121871763051542
8035,-0.667959614256245,0.0015092828828585647,-2.821229353365194
8215,-0.6679907740958969,0.0014781230432066028,-2.830289412516648
8399,-0.6680213362553873,0.0014475608837162257,-2.839363160998848
8587,-0.6680512790496882,0.0014176180894153179,-2.8484407536376612
8780,-0.66808076271489,0.001388134424213483,-2.8575684756193693
8977,-0.6681096409941278,0.0013592561449756735,-2.866698694947187
9178,-0.6681378962558063,0.0013310008832971842,-2.875821656312729
9384,-0.6681656748280418,0.0013032223110617247,-2.88498149354911
9594,-0.6681928374314323,0.0012760597076711955,-2.8941290042155927
9809,-0.6682195249592794,0.0012493721798241264,-2.90330816885853
10029,-0.6682457076292369,0.0012231895098666623,-2.9125062521105813
10254,-0.6682713866752097,0.001197510463893825,-2.921720683014449
10484,-0.668296574019963,0.001172323119140506,-2.93095267029829
10719,-0.6683212541605421,0.0011476429785614028,-2.9401931960459855
10959,-0.6683454314249071,0.0011234657141964144,-2.949440176794038
11205,-0.6683691991509058,0.0010996979881977564,-2.958726569449191
